num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
4,8,1,circular,amplitude_damping,0.001,ZZZZ,-0.08835741542051491,-0.08784415996062461
4,8,1,circular,amplitude_damping,0.005,ZZZZ,0.097368392503617,0.1108774103971692
4,8,1,circular,amplitude_damping,0.01,ZZZZ,-0.3315653628213443,-0.3315653628213443
4,8,1,circular,amplitude_damping,0.02,ZZZZ,-0.21417389861366604,-0.32646199477515125
4,8,1,circular,amplitude_damping,0.05,ZZZZ,0.059900482139065424,0.271991986917775
4,10,1,linear,depolarizing,0.001,ZZZZ,0.03831818142675647,0.07363279987388674
4,10,1,linear,depolarizing,0.005,ZZZZ,-0.007633261289464545,-0.09901583755104307
4,10,1,linear,depolarizing,0.01,ZZZZ,0.0156607858631349,0.13075013682762165
4,10,1,linear,depolarizing,0.02,ZZZZ,0.0014685569243876942,0.1135318645136643
4,10,1,linear,depolarizing,0.05,ZZZZ,-0.003500470062658703,-0.538763122164154
4,10,1,linear,amplitude_damping,0.001,ZZZZ,0.48839264525580794,0.488392645255808
4,10,1,linear,amplitude_damping,0.005,ZZZZ,-0.08432806368101531,-0.09975005264000292
4,10,1,linear,amplitude_damping,0.01,ZZZZ,-0.061930993092143005,-0.06193099309214306
4,10,1,linear,amplitude_damping,0.02,ZZZZ,0.09907684262387162,0.25357222131290535
4,10,1,linear,amplitude_damping,0.05,ZZZZ,0.016901998284193368,0.1028159699374743
4,10,1,full,depolarizing,0.001,ZZZZ,0.20057019267008505,0.32855020189352546
4,10,1,full,depolarizing,0.005,ZZZZ,0.06280738099080913,0.1352380818327709
4,10,1,full,depolarizing,0.01,ZZZZ,-0.0005110451585209203,-0.30064580017868314
4,10,1,full,depolarizing,0.02,ZZZZ,-4.0403553010215365e-08,-0.13523550509329707
4,10,1,full,depolarizing,0.05,ZZZZ,0.001378818467269699,0.031550981875967915
4,10,1,full,amplitude_damping,0.001,ZZZZ,0.0006955267687388834,0.0006479318890017863
4,10,1,full,amplitude_damping,0.005,ZZZZ,-0.2596372183451427,-0.25963721834514286
